timestamp,chan0_raw,chan1_raw,chan0_hp,chan1_hp,quat_x,quat_y,quat_z,quat_w,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,label,rep,trial
1514824.503,12535249,12566283,-11889,17295,0.32196045,-0.59661865,-0.6218262,0.39208984,-1.3428699,1.0631051999999999,0.50357616,0.5927069143085479,9.009444941389084,1.1379600792543594,0,1,1
1514827.496,12536264,12559246,-2063,13384,0.32196045,-0.5967406999999999,-0.6218262,0.3920288,-1.5107286,1.1750112,0.0,0.5926840552832601,9.009332458545401,1.1381535913648124,0,1,1
1514830.493,12538584,12565279,2757,16008,0.32196045,-0.5967406999999999,-0.62176514,0.39196777,-1.2309641000000002,1.1750112,-0.27976456,0.5927175756429481,9.009444631012212,1.1382773723626998,0,1,1
1514833.5,12546745,12567024,7504,5644,0.32196045,-0.5967406999999999,-0.62176514,0.39196777,-1.2309641000000002,1.1750112,-0.27976456,0.5927175756429481,9.009444631012212,1.1382773723626998,0,1,1
1514836.4980000001,12537375,12545467,-3855,-15893,0.32196045,-0.59680176,-0.62176514,0.39190674,-1.0631051999999999,0.83929366,-0.72738785,0.5927425541617013,9.009407999545841,1.1383980899266528,0,1,1
1514839.554,12544638,12558423,5620,3491,0.32196045,-0.59680176,-0.62176514,0.39190674,-1.0631051999999999,0.83929366,-0.72738785,0.5927425541617013,9.009407999545841,1.1383980899266528,0,1,1
1514842.49,12542374,12576748,578,18261,0.32202148,-0.59680176,-0.62176514,0.3918457,-0.78334075,0.16785873,-1.286917,0.5928913043735504,9.009399475791437,1.1384852323927783,0,1,1
1514845.524,12548220,12561915,8054,-3722,0.32208252,-0.59680176,-0.6218262,0.3918457,-0.61548203,0.05595291,-1.2309641000000002,0.5930065421791839,9.009278757837448,1.138448614813718,0,1,1
1514848.493,12554392,12599179,11002,21669,0.32208252,-0.59680176,-0.6218262,0.3918457,-0.61548203,0.05595291,-1.2309641000000002,0.7844127921791839,8.935060257837447,1.216573614813718,0,1,1
1514851.4819999998,12532943,12551215,-15346,-36577,0.32208252,-0.59680176,-0.6218262,0.39178467,-0.22381164,0.22381164,-0.83929366,0.7844856378020095,8.93509957122984,1.216621439775199,0,1,1
1514854.483,12537761,12544402,765,-32772,0.32208252,-0.59680176,-0.6218262,0.39178467,-0.22381164,0.22381164,-0.83929366,0.7844856378020095,8.93509957122984,1.216621439775199,0,1,1
1514857.489,12540123,12554475,4619,-3728,0.32208252,-0.59680176,-0.6218262,0.39178467,0.22381164,-0.05595291,-1.0071523,0.7844856378020095,8.93509957122984,1.216621439775199,0,1,1
1514860.4819999998,12539932,12560285,3639,7407,0.32214355,-0.5967406999999999,-0.6218262,0.39178467,0.78334075,-1.2309641000000002,-0.89524657,0.7846093826518821,8.935127687408563,1.2165878791896434,0,1,1
